C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
35165,Customer#000035165,eNQSvDTld1 f7JmY,0,10-173-541-5438,4767.46,AUTOMOBILE,special excuses. furiously pending packages
30597,Customer#000030597,S9s1dDut8Q,0,10-607-243-5581,-639.62,FURNITURE,lithely ruthless packages alongside of the blithely final p
42279,Customer#000042279,ABcVdNnA3JFB7bK5,0,10-934-981-2863,2236.39,MACHINERY,the even deposits sleep blithely packages. quickly express packages should have to detec
42578,Customer#000042578,l6VNaE7iSZFtkSC5fSuLeaoWTJgx5,0,10-281-998-8028,6429.80,BUILDING,y alongside of the platelets. regular deposits sleep fluffily blithely silent pinto beans: re
37854,Customer#000037854,dL6LCTLpY9hjLTrZ7g,0,10-909-820-4270,9549.78,BUILDING,inder blithely deposits. instructions nag quickly regular packages. regular requests
40053,Customer#000040053,qh8Q6gaffF73cm73K2R,0,10-593-423-2533,209.40,MACHINERY,c pinto beans. special instructions cajole fluffy
44060,Customer#000044060,"XXYMZ4Jd4PY3WJZA5bok4u 7oknfVG,rNobaef",0,10-519-920-9801,1150.68,BUILDING,according to the furiously bold instructions. regular ideas after th
49988,Customer#000049988,"oYYSmhl,K3t AwKzm5FmeEwz5lw hLf7z9m",0,10-704-487-3360,3708.73,BUILDING,"t quickly. pending, special accounts cajole furiously quick pinto beans. fluffily"
43569,Customer#000043569,"ANmTNESWDI17e2pG7j7min2Jm,vHJ",0,10-911-273-3629,3239.41,MACHINERY,"of the slyly even deposits. unusual, even theodolites about the slyly silent accounts bo"
27443,Customer#000027443,xOgk0us699smqWP3US4ufY MhkfbwNdJvCv,0,10-492-101-8357,4304.73,MACHINERY,ly bold accounts at the carefully final ideas nag slyly final accounts. express requests are fluffily
36438,Customer#000036438,"OMSO,p4PXeCsGd47b c fywK",0,10-757-611-4797,6332.86,HOUSEHOLD,"blithely express deposits. blithely final asymptotes boost against the stealthy,"
51121,Customer#000051121,XbffpKB4tLLwn,0,10-389-120-8360,5667.19,FURNITURE,ccounts are blithely blithely special pac
34128,Customer#000034128,",kvcrAtXRHiTV,gzug",0,10-926-376-8200,7709.00,BUILDING,"quickly at the express, spec"
40615,Customer#000040615,bJxfUzUxws,0,10-116-341-7891,1798.06,FURNITURE,ular requests integrate; blit
42757,Customer#000042757,mA9pHU8Gz0iGClojKjBlB,0,10-697-130-7058,-725.18,BUILDING,ly express ideas. packages integrate slyly quickly silent deposits. furiously final asymptotes
