C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
15304,Customer#000015304,DtANXOH6c8AisOyFRhaOYMA,0,10-686-383-4283,7238.68,AUTOMOBILE,ckly special sentiments. close packages integrate doggedly inside the pending depos
1765,Customer#000001765,OrnBgRc3kbx9ukZnNiUM5pBPXyE3epagewVQBPZz,0,10-538-728-6104,7409.60,AUTOMOBILE,"final, special deposits sleep carefully furiously special deposits. evenly ironic p"
24055,Customer#000024055,dkmvKLXgthM10est,0,10-443-728-9420,8234.65,FURNITURE,st the quickly unusual packages. carefully ironic ideas use furiously above the fin
15357,Customer#000015357,s QYzgTLZ3DR1mnGGH0qZnYlIdMuDxDeaDd235mI,0,10-253-483-2261,-569.03,BUILDING,ts snooze carefully among the ironic requests. blithely special platelets detect doggedly bold accounts. regu
21300,Customer#000021300,lv7hzz5M5 5MBtBnwv,0,10-427-367-9605,999.95,BUILDING,ckages wake slyly final accounts. carefully pending packages inside the furi
9042,Customer#000009042,dFD2SzEy3lfeb0lDE,0,10-437-142-7052,8969.01,AUTOMOBILE,"eodolites wake carefully regular, unusual frets"
8860,Customer#000008860,"qL7fuARSYkhmsm4,fpJxiGOD",0,10-179-241-9414,8752.96,AUTOMOBILE,equests. furiously ironic dolphins sleep carefully fluffily ironic forges.
12670,Customer#000012670,",K78tzZ6G,nl",0,10-304-659-1810,3282.68,AUTOMOBILE,fily special packages. busily even asymptotes
7664,Customer#000007664,"G,ZMO9s2mbujFq8YQqrhl3bBS",0,10-108-115-9956,8956.63,MACHINERY,gle. furiously silent theodolites integrate platele
15920,Customer#000015920,pWED8FLEqH8VAcbg,0,10-438-363-7475,4161.68,AUTOMOBILE,inal requests boost quickly about the blithely ex
19258,Customer#000019258,NJXvLGHw5meVMd1KMII9ZVrg4eQokTusY4NJIZz,0,10-782-404-6072,1836.67,HOUSEHOLD,ully regular deposits grow except the carefully ironic deposits! carefully express theo
17367,Customer#000017367,9gmpWKuByYC3hC9U37,0,10-620-126-8533,4340.98,MACHINERY,ake above the blithely bold theodolites. special depen
10388,Customer#000010388,wdjhSBXYbwUtNTBeL6dbe,0,10-669-122-2099,108.03,BUILDING,the carefully even ideas. even theodolites after the carefully ironic requests wa
21294,Customer#000021294,"rAw8eRG, sfEhgSdgz9jVEN",0,10-172-736-4036,2347.48,AUTOMOBILE,ges nag carefully. bold accounts are blithely slyly pending accounts. e
7470,Customer#000007470,2t6DGreMRKmO1UnQ0f811quupiF,0,10-642-769-1320,2236.29,FURNITURE,regular accounts. furiously final
1532,Customer#000001532,"AcQOVCVSm1YjXQtOJoM0nhClEy0,",0,10-301-550-1539,4311.62,BUILDING,ependencies. fluffily even instruction
