C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
12874,Customer#000012874,"7MqIGEWlg 4jwK,WZIakKqzMa9XYbrZjW",0,10-592-120-9012,3521.63,HOUSEHOLD,to the regular deposits. idly ironic instructions a
22282,Customer#000022282,MqdclKuHnUKSTxYAiPteWcUeT2aLffUGmKMvDv,0,10-537-480-8285,4131.97,HOUSEHOLD,thely final pinto beans might cajole careful
1377,Customer#000001377,uUnbwILMLaV8Erfqgug DvzUxD35ohKtUnal,0,10-398-963-9520,8839.15,MACHINERY,s sublate carefully alongside of the slyly express theodolites. furiously special instructions haggle
5663,Customer#000005663,"Jsi19X,KjM84YxUk04G385",0,10-803-391-3309,8725.04,AUTOMOBILE,t the quickly even decoys! platelets cajole slyly blithely ironic excuses. blithely special pi
16903,Customer#000016903,79N66cjNpvsMb,0,10-216-205-5586,-682.56,MACHINERY,"ounts. unusual, bold accounts boost q"
8368,Customer#000008368,GbRjmGOMUQw,0,10-432-479-9761,9904.61,FURNITURE,. regular foxes cajole along the slyly ironic asymptotes. fluffily ironic theodolites are
17779,Customer#000017779,1Y1JmWXX2iHbxk58k0mf4tzHrFSxihMmtXoKd,0,10-479-584-6686,-778.25,FURNITURE,ly regular deposits sleep slyly. final dependencies according to the fluffily unusual instructions
16513,Customer#000016513,"yfjYjofi87FK,IgjqTZuzHZ",0,10-713-212-7306,-87.27,BUILDING,ideas-- quickly ironic ideas boost alongside of
14275,Customer#000014275,"6,Wh4R2Nv2rM4fDITdJelc 0b6Nvw192oVXa",0,10-784-143-7613,3874.94,BUILDING,y bold accounts. special excuses sleep. accounts sleep blithely. ideas haggle blithely furiously ironic d
17316,Customer#000017316,W2KoO5VCF ZZ3mQWQcLP,0,10-146-891-9644,4241.91,AUTOMOBILE,"was slyly. slyly special deposits run slyly over the ironic, express accounts. silently regular foxes sle"
6509,Customer#000006509,"GE3nWpeN,z",0,10-658-604-7430,4234.26,FURNITURE,ly final theodolites affix fl
20616,Customer#000020616,NgFVeNlrLe9lMr,0,10-622-679-6193,9520.21,AUTOMOBILE,eans. furiously regular asymptotes use at the idly
24496,Customer#000024496,6IWzkfBWjDzXP7aOs6xdxIN K7gc,0,10-876-791-9289,4879.82,AUTOMOBILE,hinder furiously among the carefully stealthy packages. furiously final accounts use slyly regu
13781,Customer#000013781,S8Jau7unqhHwy,0,10-116-777-7297,6478.88,HOUSEHOLD,lithely ironic forges. quickly bold foxes haggle stealthily. requests above the blithely
17967,Customer#000017967,"f,qF3n0ilU37qG3MAHlXnvMLAUnvk",0,10-278-798-1888,9962.69,AUTOMOBILE,foxes sleep fluffily furiously unusual accounts. bold dolphins haggle carefully packages. ironic
8797,Customer#000008797,RvzawjpXKO9LktOMMI,0,10-517-522-5820,219.78,FURNITURE,ly bold pinto beans can nod blithely quickly regular requests. fluffily even deposits ru
2037,Customer#000002037,SXvT5ioAeT2fbVYDemsTTqqh,0,10-310-615-6464,4557.88,BUILDING,after the regular decoys are blith
