C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
22643,Customer#000022643,6q1mH2NDbbSZD2tOliowe3pT9,0,10-745-420-1529,1055.58,FURNITURE,lyly quickly regular packages.
896,Customer#000000896,gPb5nP15yi7urmO,0,10-425-565-3199,7659.72,AUTOMOBILE,affix carefully unusual requests. furiously fin
6495,Customer#000006495,WlTJB854exrQqhPqI2uaJlupnKfoJyB,0,10-465-937-3117,6679.86,AUTOMOBILE,deposits. theodolites hang blithely after the carefully ironic
11029,Customer#000011029,"O,I97tQae9jyp,C1SVaVFr5C913w3SYAQkTsB1",0,10-796-436-4320,-663.86,FURNITURE,carefully according to the blithely even deposits. final dolphins sleep final deposits. unusual foxes about
18365,Customer#000018365,"yFRP1S3n,uOsQ0hHPrkNtKBmkQbPnX 0c9i",0,10-836-214-8530,1939.80,BUILDING,kly. quickly even deposits cajole blithely after the quickly regular ideas. furiously silent packages sleep qu
10254,Customer#000010254,u82aLNtYQqgEmwg1,0,10-134-272-8602,3445.69,BUILDING,le quickly above the slyly silent asymptotes. carefully quiet platelets sleep blithely. fluffily ironic packages bo
22647,Customer#000022647,"N  SRKORAWCNbsi0,jsCkz24X8h7V8z",0,10-441-520-2075,8230.22,AUTOMOBILE,d deposits. blithely regular requests after the carefully regular accounts cajole fluf
20449,Customer#000020449,9t5yD3O 6feMlE7CsHjU3,0,10-890-366-5320,2671.56,BUILDING,"blithely pending packages. thin requests detect. regular, express packages affix slyly even somas."
25642,Customer#000025642,gaF5pWvD2tfSlpu,0,10-912-154-9349,5752.84,AUTOMOBILE,equests. quickly bold deposits wake blithely. theodolites wake quickly slowly pending asymp
761,Customer#000000761,lCLLYVOAJf,0,10-835-631-4258,1525.96,BUILDING,ress Tiresias haggle across the never ironic ideas. blithely pending theodolites cajole ironically
25663,Customer#000025663,QNb NstelXfpi,0,10-274-123-8069,2179.95,BUILDING,slyly final asymptotes cajole blithely across the blithely
9615,Customer#000009615,qJ5EKjctufKF447y JAZymUDAm19Impw,0,10-660-205-2356,8129.84,BUILDING,uests kindle after the furiously even requests. f
10506,Customer#000010506,"NBY4oh,fe,",0,10-471-459-6084,9952.49,MACHINERY,s are against the pinto beans. quickly silent pains around the never even deposits hang carefully deposits
13480,Customer#000013480,"DY3,IrJGEb49FpK5kK9W7z1DVXPDJ D",0,10-527-432-8495,1684.67,HOUSEHOLD,d forges are fluffily; carefully unusual deposits use accor
14299,Customer#000014299,xuhKYb ym9Bk7f,0,10-156-618-1224,6595.97,AUTOMOBILE,carefully regular requests. quickly ironic accounts against the ru
